lt,op,cl,hi,lo,v
1980/12/12,0.1283,0.1283,0.1283,0.1283,469034068
1980/12/15,0.1217,0.1217,0.1217,0.1217,175884972
1980/12/16,0.1127,0.1127,0.1127,0.1127,105728104
1980/12/17,0.1155,0.1155,0.1155,0.1155,86441684
1980/12/18,0.1189,0.1189,0.1189,0.1189,73449672
1980/12/19,0.1261,0.1261,0.1261,0.1261,48630448
1980/12/22,0.1323,0.1323,0.1323,0.1323,37363236
1980/12/23,0.1378,0.1378,0.1378,0.1378,46950444
1980/12/24,0.1451,0.1451,0.1451,0.1451,48003248
1980/12/26,0.1585,0.1585,0.1585,0.1585,55574452
1980/12/29,0.1607,0.1607,0.1607,0.1607,93161692
1980/12/30,0.1568,0.1568,0.1568,0.1568,68880068
1980/12/31,0.1523,0.1523,0.1523,0.1523,35750432
1981/01/02,0.154,0.154,0.154,0.154,21660820
1981/01/05,0.1507,0.1507,0.1507,0.1507,35728032
1981/01/06,0.144,0.144,0.144,0.144,45158444
1981/01/07,0.1378,0.1378,0.1378,0.1378,55686452
1981/01/08,0.135,0.135,0.135,0.135,39827236
1981/01/09,0.1423,0.1423,0.1423,0.1423,21504020
1981/01/12,0.1412,0.1412,0.1412,0.1412,23699220
1981/01/13,0.1362,0.1362,0.1362,0.1362,23049620
1981/01/14,0.1367,0.1367,0.1367,0.1367,14291212
1981/01/15,0.1395,0.1395,0.1395,0.1395,14067212
1981/01/16,0.1384,0.1384,0.1384,0.1384,13395212
1981/01/19,0.1468,0.1468,0.1468,0.1468,41574440
1981/01/20,0.1423,0.1423,0.1423,0.1423,30083228
1981/01/21,0.1451,0.1451,0.1451,0.1451,15904012
1981/01/22,0.1468,0.1468,0.1468,0.1468,35548832
1981/01/23,0.1462,0.1462,0.1462,0.1462,11222408
1981/01/26,0.144,0.144,0.144,0.144,24640024
1981/01/27,0.1429,0.1429,0.1429,0.1429,23699220
1981/01/28,0.1384,0.1384,0.1384,0.1384,28156828
1981/01/29,0.1334,0.1334,0.1334,0.1334,43904040
1981/01/30,0.1261,0.1261,0.1261,0.1261,46188844
1981/02/02,0.1189,0.1189,0.1189,0.1189,23766420
1981/02/03,0.1233,0.1233,0.1233,0.1233,19152016
1981/02/04,0.1278,0.1278,0.1278,0.1278,27865624
1981/02/05,0.1278,0.1278,0.1278,0.1278,7929604
1981/02/06,0.1283,0.1283,0.1283,0.1283,13865612
1981/02/09,0.1217,0.1217,0.1217,0.1217,16755216
1981/02/10,0.1217,0.1217,0.1217,0.1217,18345616
1981/02/11,0.1177,0.1177,0.1177,0.1177,13843212
1981/02/12,0.1166,0.1166,0.1166,0.1166,14560012
1981/02/13,0.1138,0.1138,0.1138,0.1138,11155208
1981/02/17,0.1166,0.1166,0.1166,0.1166,12275212
1981/02/18,0.1217,0.1217,0.1217,0.1217,19241616
1981/02/19,0.1144,0.1144,0.1144,0.1144,22310420
1981/02/20,0.1083,0.1083,0.1083,0.1083,24371224
1981/02/23,0.1099,0.1099,0.1099,0.1099,14112012
1981/02/24,0.106,0.106,0.106,0.106,16979216
1981/02/25,0.1127,0.1127,0.1127,0.1127,19488016
